id_video,titulo,dt_publicacao,id_canal,canal,dt_trending,cont_views,likes,dislikes,cont_comentarios,descricao,categoria
GuLYiV0Cjd4,MAS JÁ ? Xiaomi POCO M3 PRO 5G chegooooou ! PREÇO SURREAL | Menos de 1000 REAIS |,2021-05-19 15:15:00+00:00,UCJY41yD2uXdj3sV-8sMOcGw,K Tech,2021-05-23 00:00:00+00:00,195863,13597,159,991,"Para comprar sempre com o melhor preço acesse o nosso grupo de cupons e promoções  https://t.me/s/ktechpromocoesEstamos no Kwai, siga o canal, utilize o nosso código e comece a ganhar dinheiro assistindo vídeos  https://s.kwai.app/s/b1d1vBzF LINK PARA COMPRA DO SMARTPHONE XIAOMI POCO M3 PRO 5G 128GB ( CUPOM: BRLOVE5 ou 10M3PRO )  https://bit.ly/3bFNukK https://bit.ly/3bFNukKXIAOMI POCO M3 PRO 5G 64GB ( CUPOM: BRLOVE5 ou 10M3PRO )  https://bit.ly/3bFNukK https://bit.ly/3bFNukKMelhor smartphone até 2500 reais  https://ali.ski/IdNsp https://ali.ski/IdNspMelhor smartphone até 2000 reais  https://ali.ski/pAyCh https://ali.ski/pAyChMelhor smartphone até 1500 reais  https://ali.ski/_6vqiG https://ali.ski/_6vqiGMelhor smartphone até 1000 reais  https://ali.ski/fmf0z https://ali.ski/fmf0z Melhores smartphones baratinhos  UMIDIGI A9 PRO  https://ali.ski/v0fde https://ali.ski/v0fdeXIAOMI POCO M3  https://ali.ski/4pozp https://ali.ski/4pozp Não esqueça de se inscrever no canal clicando aqui  http://bit.ly/InscriçãoKTech Melhores Xiaomi já no BRASIL SEM TAXAXIAOMI MI 10T LITE 5G 6/128 https://amzn.to/2MKgejf https://amzn.to/2MKgejfXIAOMI POCO M3 4/128 https://amzn.to/3b3Nk7p https://amzn.to/3b3Nk7pXIAOMI POCO X3 NFC 6/128 https://amzn.to/30W4CgM https://amzn.to/30W4CgMXIAOMI MI 10 8/128 https://amzn.to/3h3s8OM https://amzn.to/3h3s8OMPOCOPHONE F2 PRO 6/128 https://amzn.to/2C4s8iL https://amzn.to/2C4s8iLXIAOMI MI NOTE 10 PRO 8/256 https://amzn.to/2WlY0pW https://amzn.to/2WlY0pWXIAOMI MI NOTE 10 LITE 8/128 https://amzn.to/32o0lnY https://amzn.to/32o0lnYREDMI NOTE 9s 6/128 https://amzn.to/3ezxyPI https://amzn.to/3ezxyPIREDMI NOTE 9 PRO 6/128 https://amzn.to/3h2zWA8 https://amzn.to/3h2zWA8XIAOMI POCOPHONE F2 PRO 6/128 https://amzn.to/2ZzvoKt https://amzn.to/38pF2mUXIAOMI REDMI NOTE 9 PRO 6/128 https://amzn.to/2VKxc22 https://amzn.to/2VKxc22XIAOMI REDMI NOTE 9 4/128 https://amzn.to/3gncayD https://amzn.to/3gncayDXIAOMI REDMI NOTE 9 3/64 https://amzn.to/2VLS9tF https://amzn.to/2VLS9tFXIAOMI REDMI 9 4/64 https://amzn.to/2C4WZvb https://amzn.to/2C4WZvbXIAOMI REDMI NOTE 9S 4/64 https://amzn.to/2AwKasK https://amzn.to/2AwKasKXIAOMI REDMI NOTE 9S 6/128 https://amzn.to/2WwW8uR https://amzn.to/2WwW8uRXIAOMI MI NOTE 10 8/128 https://amzn.to/34cFKjQ https://amzn.to/34cFKjQXIAOMI REDMI NOTE 8 https://amzn.to/2M0IAmk https://amzn.to/2M0IAmkXIAOMI REDMI NOTE 8 PRO https://amzn.to/35swvha https://amzn.to/35swvhaXIAOMI MI 9 LITE https://amzn.to/2noNXlF https://amzn.to/2noNXlFXIAOMI MI 9T https://amzn.to/2JWfUsd https://amzn.to/2Kp4HmKXIAOMI MI 9T PRO https://amzn.to/2ZDelFy https://amzn.to/2ZDelFyXIAOMI MI 8 LITE https://amzn.to/2JXNPmX https://amzn.to/2XpGu2hXIAOMI REDMI NOTE 7 https://amzn.to/2Wi2iLW https://amzn.to/2HYa1uZXIAOMI MI A3 https://amzn.to/30Z2TF1 https://amzn.to/30VNdCIXIAOMI MI 9 SE https://amzn.to/2Wg1GGC https://amzn.to/2WTLTC5XIAOMI MI 9 https://amzn.to/2WSmhFG https://amzn.to/2WkC4J2ASSINE O AMAZON PRIMEFrete GRÁTIS em MILHARES de Produtos e Serviço de Entretenimento com Vídeos e Músicas!TESTE GRÁTIS POR 30 DIAS! -  https://amzn.to/31iLKXyDica: Se pegar o plano de 1 ano, fica por R$7,40 por mês e ainda garante durante 1 ano sem aumentos! :GRUPO DE CUPONS DE DESCONTO Grupo Cupons de Desconto Telegram https://t.me/s/ktechpromocoesGrupo Cupons de Desconto Whatsapp http://bit.ly/cuponsktech4 http://bit.ly/cuponsktech5 http://bit.ly/cuponsktech6 http://bit.ly/cuponsktech7SMARTPHONES DO CANAL A VENDA - http://www.instagram.com/lojacanalktech LOJAS QUE COMPRO E INDICO BANGGOOD – http://bit.ly/KTECHBANGGOOODAMAZON BRASIL – http://bitly.com/KTECHAMAZONALIEXPRESS - http://bit.ly/KTECHALIEXPRESSFotos no DRIVE – https://bit.ly/34aQPo9(00:00) Introdução(01:54) Unboxing(09:40) Teste de Câmera (13:15) Teste de Áudio (14:09) Teste de Antutu (14:24) Teste Jogos (16:45) Resumo e Considerações Finais INSCREVA-SE INSTAGRAM: https://www.instagram.com/canalktechFACEBOOK: https://www.facebook.com/canalktechoficialSUPER GRUPO TELEGRAM: https://t.me/supergrupoktechE-MAIL: canalktech@gmail.comPOCO M3 PRO 5G - PT BR - Brasil - Portugal – Português – Europe#xiaomi #pocom3pro5g #ktech",Science & Technology
ce8roGn1KHQ,REVELANDO A CASA NOVA QUE COMPRAMOS,2021-01-14 16:39:48+00:00,UCR3vcUrhFUdzagng58ueI2w,Invento na Hora,2021-01-23 00:00:00+00:00,2781031,347261,3083,9288," A LOJA ESTÁ DE VOLTA: https://www.inventonahora.com.br/ Vídeo mostrando a casa inteira: https://youtu.be/huAN7Dz9bjo INSTAGRAM: http://www.instagram.com/lucas_lira ✔️ TWITTER: http://www.twitter.com/lucas_lira ✔️FACEBOOK: http://www.facebook.com/inventonahora  E-MAIL: comercial@inventonahora.tvEscolhemos e compramos a nossa próxima casa (parcelada em 300 mil vezes, mas compramos kkkkk) graças a Deus e graças ao apoio e força de vocês!! Muito obrigado galera, de verdade!! Vocês são muito importante na minha vida, e tá vindo uma fase incrível esse ano e vocês vão acompanhar e participar de tudo ",Entertainment
8L180z70WT8,A chata da minha irmã 34 (SE EU FOSSE VOCÊ),2020-08-26 21:24:05+00:00,UCz2A8OXLR2xwYE63zWbu7IA,Wiris Viana,2020-09-01 00:00:00+00:00,2932148,98886,3985,3906,NOSSO CLUBINHO https://www.youtube.com/channel/UCz2A8OXLR2xwYE63zWbu7IA/join INSTAGRAMhttps://www.instagram.com/wirisvianao... CONTATO E-MAILproducaowirisviana@gmail.com FACEBOOKhttps://www.facebook.com/wirisvianaof... TIK TOKhttps://vm.tiktok.com/3WcKD2/,Comedy
npO0__4ofN0,OLHA o que Luxemburgo falou após ser DEMITIDO do Palmeiras!,2020-10-15 04:37:40+00:00,UCv-Nx8pSfG_LxbViMz14RWQ,Jovem Pan Esportes,2020-10-18 00:00:00+00:00,428761,11745,447,1475,Vanderlei Luxemburgo foi demitido após Palmeiras x Coritiba. Veja o que ele falou depois da decisão da diretoria do Verdão. Link do vídeo: https://youtu.be/npO0__4ofN0#JovemPan #Camisa10 Inscreva-se no nosso canal:http://www.youtube.com/jovempanesportesEntre no nosso site:http://jovempan.com.br/esportesFacebook:https://www.facebook.com/JovemPanEsportesSiga no Twitter:https://twitter.com/JovemPanEsporteInstagram:https://www.instagram.com/jovempanesportes,Sports
SKGJJI4whPQ,Neve... No Outuno... Em Horário de Verão!? ,2020-10-30 14:51:09+00:00,UCGl-muGnQctGYX8D0I9RKmA,PequenoSapeca,2020-11-06 00:00:00+00:00,68037,13668,59,485,"Curso do BRKsEDU: https://curso.brksedu.com.brBaixe GRÁTIS o Bilômetro e economize $$$ - http://bilometro.brksedu.com.brVídeo mostrando a primeira neve da temporada... e nevou durante o Outono, não no Inverno, ainda no horário de Verão! Aproveitamos para mostrar a neve aos nossos gatos, Kimi e Logan.Redes sociais da Sapeca:- Facebook: http://www.facebook.com/BRKsPequenaSapeca- Twitter: @BRKsSapeca- Instagram: http://www.instagram.com/PequenaSapecaAssine Epidemic Sound - biblioteca de áudio que usamos para nossos vídeos - com nosso link de afiliado: http://share.epidemicsound.com/BRKsEDURedes sociais do BRKsEDU:- Twitter: @BRKsEDU- Instagram: http://www.instagram.com/BRKsEDU- Facebook: http://www.facebook.com/BRKsEDUObrigado por assistir! =)Contato comercial: comercial @ brksedu . com . br",Entertainment
j6XTck-nefI,AULA EM CASA - 1º AO 3º ANO - ENSINO FUNDAMENTAL - 12.08.2020,2020-08-12 15:05:59+00:00,UCPkki9_16-rRYo5bkZI3eLA,Aula em Casa 4 Amazonas,2020-08-17 00:00:00+00:00,21566,868,132,108,,Education
nd4n8McjA6w,"Jô, ela sempre falou mal de você, dispara Mateus sobre Lidi | A Fazenda 12",2020-11-25 13:47:44+00:00,UCw4YGFtvDgOL09KrFpqj6kg,A Fazenda,2020-11-26 00:00:00+00:00,518764,18031,626,8759,"Durante a manhã desta quarta (25), Jojo e Mateus tiveram uma longa conversa sobre a postura de Lidi na última votação. O ator avaliou ainda outros participantes que nunca o enganaram. Assista!Assine o PlayPlus e tenha acesso à transmissão 24 horas de A Fazenda 12.Inscreva-se no canal A Fazenda: http://r7.com/8IZb Site oficial: https://afazenda.r7.com/a-fazenda-12Assista às íntegras no PlayPlus: https://www.playplus.comTikTok: https://vm.tiktok.com/ZS5cTvgC/Facebook: https://www.facebook.com/AFazendaRecordInstagram: https://www.instagram.com/afazendarecordTwitter: https://twitter.com/afazendarecord#AFazenda12 #MarcosMion #FogoNoFeno",Entertainment
ZRRxRRK4BwM,A recaída - Zé Vaqueiro,2021-05-27 14:00:12+00:00,UCF1QpivnnDnbM85kPbR-sWA,Zé Vaqueiro,2021-06-07 00:00:00+00:00,6087704,197293,2850,7046,"#ZeVaqueiro #Arecaida #VibeOriginalA recaída (Zé vaqueiro)A recaída vai existir, você me ligaE eu começo a te ouvir, se explicar, tenta me convencerQue a nossa briga eu tenho que esquecerPede outra chance pra o nosso amorEu não aguento, e de novo eu te douVou te falar só essa vezNão joga fora todo amor que eu te deiWhat is love?Baby, don't hurt meBaby, don't hurt meNo moreFICHA TÉCNICA:Direção geral: Ingra SoaresDireção de vídeo: HD Fortaleza Direção de Arte:  Ray VelosoArtista Vybbe (85) 98214.8585https://www.instagram.com/vybbe_/Siga o Zé Vaqueiro nas redes sociais!Siga no Instagramhttp://www.instagram.com/zevaqueiro​Inscreva-se e ative o sininhohttp://www.YouTube.com/Zevaqueiro​Curta a fanpage no Facebook https://www.facebook.com/zevaqueiroooriginalSegue no Tiktok https://vm.tiktok.com/ZMeCw87sN/Siga-me no Twitterhttps://twitter.com/zevaqueiro",Music
ZyTTq8OVqT4,WhatsApp: Até que Fim CHEGOU esse Recurso! Veja COMO ATIVAR no seu Telefone!,2020-12-04 00:10:00+00:00,UCddVa_i8yri-wNyomMMUiXg,BPV,2020-12-12 00:00:00+00:00,186030,6312,442,504,"Até que fim chegou recurso muito aguardado no WhatsApp, veja como ativar no seu celular. https://youtu.be/ZyTTq8OVqT4 COMPARTILHE! #BPV✔️SE INSCREVA para Receber mais Vídeos e Dicas, CLIQUE AQUI: http://bit.ly/Canal_BPV✔️Tenha acesso ao meu WhatsApp pessoal Seja Membro do canal: https://bit.ly/32wHCWK ✔️Instagram Oficial do canal, me segue lá: https://www.instagram.com/bpv_oficial/✔️Acesse o Site Oficial do Canal BPV: https://canalbpv.com/SUPER PROMOÇÃO🡇Curso de Formação de Técnico em Informática que eu recomendo: https://go.hotmart.com/E16841167Q🡇Os Melhores Antivírus com DESCONTO DE 50% - Use o cupom: BPV50Baixar o Kaspersky Security Cloud: https://bit.ly/36cMYcgBaixar o Kaspersky total Security: https://bit.ly/3n0HOWMBaixar o Kaspersky Internet Security: https://bit.ly/30fJnq2Baixar o Kaspersky Antivírus 2020: https://bit.ly/2FWZr9hBaixar o Kaspersky para Android: https://bit.ly/2VOimbeSegurança Kaspersky para computadores: https://bit.ly/3iXXCqXKaspersky VPN Secure Connection:  https://bit.ly/30iqD9gKaspersky Safe Kids: https://bit.ly/2GeNuM2Kaspersky Password Manager: https://bit.ly/3kTiS1yAssista mais Dicas SENSACIONAIS🡇Como Ter um MAIOR DESEMPENHO no PC, Faça isso de 15 em 15 Dias: https://youtu.be/RJU8HhdCxbENotebook ESQUENTANDO Muito e DESLIGANDO Sozinho? GUIA COMPLETO: https://youtu.be/Z7DagyZCOSUPromoções em Computadores e informática: https://amzn.to/2Ij5kOOSeu Windows Muito MAIS RÁPIDO - Melhor DESEMPENHO no PC🡇SSD Wd Green de 120GB: https://amzn.to/3jY3VKVSSD Kingston de 120GB Série A400: https://amzn.to/3oRxG3mSSD Adata de 120GB SU650: https://amzn.to/34R5t54Como Deixar um PC ANTIGO Mais Rápido (SEGREDO REVELADO): https://youtu.be/hSpKfcbg8UUServiços de Hospedagem de Sites que eu recomendo:https://www.deltaservers.com.br/Conheça a Internet que eu uso no Canal BPV🡇Internet da Brascom: http://www.brascom.net.br/Telefone e Whatsapp: (21) 4063-9101Instagram: @brascomtecnologiaE-mail: contato@brascom.net.brBaixar o NOVO Advanced SystemCare Pro🡇 CLIQUE AQUI: http://bit.ly/2t59FxCSUPER PROMOÇÃO BPV🡇Novo Advanced SystemCare Pro - Licença de 1 ano para 3 PCs + Presente! CLIQUE AQUI: http://bit.ly/34cEbD0Novo Driver Booster Pro - Licença de 1 ano para 3 PCs                      CLIQUE AQUI: https://bit.ly/3jGD0UiBaixar o Novo Driver Booster: http://bit.ly/36VrUUQBaixar o Novo Antivírus Malware Fighter🡇CLIQUE AQUI: https://bit.ly/3iAWZDRNovo Antivírus Malware Fighter - Comprar Licença de 1 ano/3 PCs do🡇CLIQUE AQUI: http://bit.ly/2W32KBFNovo IObit Uninstaller PRO - Licença de 1 ano para 3 PCs - Oferta BPV: http://bit.ly/2HgWE8gBaixar o Novo IObit Uninstaller: http://ow.ly/ITT330adIOFBaixar o Novo Smart Defrag: http://ow.ly/cQK230abLGeContato Comercial🡇 Anunciar no Canal BPV: bpvtvhd2@gmail.comAqui estão os preços de anúncios no Canal BPV:Anúncio rápido no início do vídeo de 10 à 15 segundos: R$800,00 reaisVídeo inteiro dedicado ao produto: R$1500,00 reaisCréditos🡇 Banner/Intro/Logotipo/vinhetaContato: Patrícia CamposE-MAIL: patycampos.2013@gmail.comTel: 21 98267-7243 (Este telefone é só para quem deseja contratar para fazer banner e vinheta para canais do Youtube).",Science & Technology
6fdXsoVNJis,EVERGLOW - LA DI DA / Haejun X Tina Boo X Lia Kim Choreography,2020-09-23 12:00:03+00:00,UCw8ZhLPdQ0u_Y-TLKd61hGA,1MILLION Dance Studio,2020-09-28 00:00:00+00:00,1914145,162581,1107,3867,"Choreographer / Haejun, Tina Boo, Lia KimSong / EVERGLOW - LA DI DATo enjoy membership benefits, click “JOIN” at the link below:https://www.youtube.com/channel/UCw8ZhLPdQ0u_Y-TLKd61hGA/joinFind out more about 1MILLION Dance StudioWebsite: www.1milliondance.comInstagram:  @1milliondance#1MILLION* Currently, 1MILLION thoroughly complies with government regulation and practices proper disinfection of the studio.",Entertainment
